user_id,item_id,rating,timestamp,interactions,user_id_mapped,item_id_mapped,source
6041,1,1.0,1782818184,1.0,6041,40,live
6041,1,1.0,1782818184,1.0,6041,40,live
6041,23,1.0,1782818184,1.0,6041,1883,live
6041,23,1.0,1782818184,1.0,6041,1883,live
6041,23,1.0,1782818184,1.0,6041,1883,live
6041,23,1.0,1782818184,1.0,6041,1883,live
6041,23,1.0,1782818184,1.0,6041,1883,live
6041,33,1.0,1782818184,1.0,6041,3364,live
6041,1,1.0,1782818184,1.0,6041,40,live
6041,1,1.0,1782818184,1.0,6041,40,live
6041,1,1.0,1782818184,1.0,6041,40,live
6041,1,1.0,1782818184,1.0,6041,40,live
6041,905,4.0,1782818184,4.0,6041,1448,live
6041,3030,4.0,1782818184,4.0,6041,70,live
6041,2935,3.0,1782818184,3.0,6041,1511,live
6041,1230,2.0,1782818184,2.0,6041,766,live
6041,649,4.0,1782818184,4.0,6041,2471,live
6041,1002,4.0,1782818184,4.0,6041,3010,live
6041,1276,4.0,1782818184,4.0,6041,597,live
6041,1066,5.0,1782818184,5.0,6041,2049,live
